ShowCount,GeneralCount,GoodRateShow,GoodRateStyle,GeneralRateShow,Score2Count,AverageScore,PoorRateStyle,CommentCount,GoodRate,AfterCount,PoorRate,GeneralRate,ProductId,SkuId,GeneralRateStyle,Score5Count,Score4Count,PoorRateShow,GoodCount,PoorCount,Score1Count,Score3Count
10,2,97,146,2,0,5,1,112,0.975,0,0.008,0.017,1511132717,1511132717,3,105,4,1,109,1,1,2
97,15,98,148,1,7,5,1,1881,0.987,7,0.006,0.007,10533320062,10533320062,1,1834,20,1,1854,12,12,8
63,35,98,147,1,14,5,1,2927,0.982,2,0.007,0.011,10432993198,10432993198,2,2813,56,1,2869,23,23,21
34,10,96,144,3,1,5,2,348,0.961,0,0.011,0.028,1159094415,1159094415,4,298,36,1,334,4,4,9
5,1,96,146,2,0,5,2,60,0.968,0,0.016,0.016,1762832808,1762832808,2,56,2,2,58,1,1,1
7,0,100,150,0,0,5,0,8,1.0,1,0.0,0.0,11564516641,11564516641,0,8,0,0,8,0,0,0
2,0,100,150,0,0,5,0,11,1.0,1,0.0,0.0,10392101538,10392101538,0,11,0,0,11,0,0,0
5,0,93,139,0,0,5,11,14,0.929,0,0.071,0.0,1656166199,1656166199,0,13,0,7,13,1,1,0
2,0,100,150,0,0,5,0,2,1.0,0,0.0,0.0,11806793062,11806793062,0,2,0,0,2,0,0,0
6,2,98,147,1,0,5,2,244,0.98,0,0.012,0.008,1790171516,1790171516,1,237,2,1,239,3,3,2
108,3,98,147,2,1,5,0,175,0.983,1,0.0,0.017,11384520655,11384520655,3,168,4,0,172,0,0,2
277,52,97,145,2,20,5,2,2582,0.968,7,0.012,0.02,10047288355,10047288355,3,2434,64,1,2498,32,32,32
28,1,98,148,1,0,5,1,111,0.982,0,0.009,0.009,10608087838,10608087838,1,103,6,1,109,1,1,1
81,33,99,149,1,3,5,0,5252,0.992,2,0.002,0.006,1502014516,1502014516,1,5129,75,0,5204,15,15,30
1,0,100,150,0,0,5,0,18,1.0,0,0.0,0.0,10884891666,10884891666,0,18,0,0,18,0,0,0
16,2,97,145,3,0,5,0,62,0.968,0,0.0,0.032,1506154534,1506154534,5,59,1,0,60,0,0,2
4,8,100,150,0,0,5,0,3697,0.996,0,0.002,0.002,1450627131,1450627131,0,3667,14,0,3681,8,8,8
4,1,96,144,4,0,5,0,24,0.959,0,0.0,0.041,10395553061,10395553061,6,21,2,0,23,0,0,1
1,0,100,150,0,0,5,0,15,1.0,0,0.0,0.0,10092096189,10092096189,0,14,1,0,15,0,0,0
3,1,94,141,6,0,5,0,17,0.942,0,0.0,0.058,11310874979,11310874979,9,16,0,0,16,0,0,1
26,2,97,146,1,1,5,3,239,0.972,4,0.02,0.008,11183536769,11183536769,1,221,11,2,232,5,5,1
3,0,92,138,0,0,5,12,37,0.919,0,0.081,0.0,10386784001,10386784001,0,32,2,8,34,3,3,0
26,2,97,146,1,1,5,3,239,0.972,4,0.02,0.008,10919505856,10919505856,1,221,11,2,232,5,5,1
46,4,96,144,2,0,5,3,192,0.96,0,0.02,0.02,10617791512,10617791512,3,175,9,2,184,4,4,4
17,17,93,139,6,4,5,2,270,0.924,0,0.014,0.062,1000638191,1000638191,9,184,65,1,249,4,4,13
3,1,98,146,1,1,5,2,69,0.972,0,0.014,0.014,10060883161,10060883161,2,67,0,1,67,1,1,0
4,1,100,150,0,0,5,0,269,0.994,0,0.003,0.003,1475095281,1475095281,0,261,6,0,267,1,1,1
8,2,95,143,3,1,5,2,59,0.951,1,0.016,0.033,1762566631,1762566631,5,55,1,2,56,1,1,1
0,25,96,144,2,7,5,3,1237,0.961,13,0.019,0.02,10571557131,10571557131,3,1158,30,2,1188,24,24,18
11,1,99,148,1,0,5,0,68,0.986,0,0.0,0.014,10691476083,10691476083,2,63,4,0,67,0,0,1
4,0,97,146,0,0,5,4,40,0.975,1,0.025,0.0,10223142586,10223142586,0,38,1,3,39,1,1,0
19,1,100,150,0,1,5,0,296,0.994,0,0.003,0.003,10377308111,10377308111,0,286,8,0,294,1,1,0
47,42,98,148,1,7,5,1,4724,0.987,0,0.005,0.008,1071108234,1071108234,1,4559,97,1,4656,26,26,35
1,4,98,147,1,1,5,1,303,0.981,2,0.006,0.013,11189030465,11189030465,2,289,8,1,297,2,2,3
381,72,95,143,3,28,5,3,2401,0.954,14,0.017,0.029,1513502204,1513502204,4,2206,81,2,2287,42,42,44
29,2,97,145,1,1,5,3,147,0.967,3,0.02,0.013,1469844093,1469844093,2,132,10,2,142,3,3,1
0,1,95,142,5,0,5,0,20,0.95,0,0.0,0.05,11154748209,11154748209,8,17,2,0,19,0,0,1
22,0,100,150,0,0,5,0,141,1.0,0,0.0,0.0,10292110303,10292110303,0,133,8,0,141,0,0,0
27,40,95,143,3,12,5,3,1501,0.957,0,0.017,0.026,1005670367,1005670367,4,1285,149,2,1434,27,27,28
5,0,100,150,0,0,5,0,29,1.0,0,0.0,0.0,1605458829,1605458829,0,27,2,0,29,0,0,0
15,3,95,143,3,1,5,3,105,0.953,2,0.019,0.028,11382053854,11382053854,4,95,5,2,100,2,2,2
0,0,100,150,0,0,5,0,1,1.0,0,0.0,0.0,10188945589,10188945589,0,1,0,0,1,0,0,0
22,4,96,144,3,2,5,2,146,0.96,1,0.013,0.027,1007060828,1007060828,4,133,7,1,140,2,2,2
5,2,92,138,8,1,5,0,25,0.92,0,0.0,0.08,11192540691,11192540691,12,22,1,0,23,0,0,1
43,4,100,150,0,0,5,0,2823,0.998,2,0.001,0.001,10737416004,10737416004,0,2810,5,0,2815,4,4,4
0,0,100,150,0,0,5,0,2,1.0,0,0.0,0.0,11411119523,11411119523,0,2,0,0,2,0,0,0
5,0,100,150,0,0,5,0,9,1.0,0,0.0,0.0,10123083080,10123083080,0,9,0,0,9,0,0,0
2023,331,97,145,2,83,5,2,15888,0.969,62,0.011,0.02,962923,962923,3,14534,835,1,15369,188,188,248
80,10,97,145,2,3,5,2,497,0.97,1,0.01,0.02,3823064,3823064,3,454,28,1,482,5,5,7
19,5,96,144,3,2,5,2,200,0.961,0,0.014,0.025,1167158671,1167158671,4,183,9,1,192,3,3,3
61,3,98,147,1,0,5,2,577,0.983,0,0.012,0.005,1604818630,1604818630,1,555,12,1,567,7,7,3
0,0,100,150,0,0,5,0,5,1.0,0,0.0,0.0,11494128438,11494128438,0,4,1,0,5,0,0,0
21,1,97,146,1,0,5,3,130,0.97,1,0.023,0.007,1584352307,1584352307,1,114,12,2,126,3,3,1
19,2,98,147,1,1,5,1,158,0.982,0,0.006,0.012,10000713429,10000713429,2,149,6,1,155,1,1,1
0,9,99,147,1,3,5,1,714,0.984,0,0.004,0.012,10040216103,10040216103,2,676,26,0,702,3,3,6
101,38,99,148,1,10,5,1,4788,0.989,8,0.004,0.007,1343394041,1343394041,1,4683,46,0,4729,21,21,28
23,1,95,143,1,0,5,6,167,0.954,0,0.041,0.005,10441740263,10441740263,1,153,6,4,159,7,7,1
21,19,92,139,4,7,5,6,530,0.928,4,0.037,0.035,10807638673,10807638673,5,473,18,4,491,20,20,12
5,1,94,142,2,0,5,5,56,0.948,0,0.035,0.017,3198511,3198511,3,50,3,4,53,2,2,1
0,0,100,150,0,0,5,0,2,1.0,0,0.0,0.0,11202994428,11202994428,0,2,0,0,2,0,0,0
0,20,95,143,3,6,5,3,673,0.949,3,0.022,0.029,10127660025,10127660025,4,611,27,2,638,15,15,14
7,1,98,147,2,0,5,0,44,0.978,0,0.0,0.022,10186652273,10186652273,3,41,2,0,43,0,0,1
2,0,100,150,0,0,5,0,4,1.0,0,0.0,0.0,10158697927,10158697927,0,3,1,0,4,0,0,0
0,0,100,150,0,0,5,0,8,1.0,0,0.0,0.0,11055881582,11055881582,0,8,0,0,8,0,0,0
32,7,96,145,2,1,5,2,376,0.967,2,0.015,0.018,1001486714,1001486714,3,347,16,2,363,6,6,6
1628,207,96,145,2,59,5,2,9555,0.963,74,0.016,0.021,2789971,2789971,3,8912,278,2,9190,158,158,148
99,33,97,146,2,7,5,1,1671,0.974,3,0.007,0.019,1014995,1014995,3,1544,82,1,1626,12,12,26
0,4,97,146,2,1,5,1,167,0.972,1,0.005,0.023,11511138099,11511138099,3,159,3,1,162,1,1,3
0,0,100,150,0,0,5,0,205,1.0,0,0.0,0.0,11105958127,11105958127,0,205,0,0,205,0,0,0
4,2,99,148,1,2,5,0,143,0.987,1,0.0,0.013,1323187940,1323187940,2,134,7,0,141,0,0,0
11,0,100,150,0,0,5,0,52,1.0,1,0.0,0.0,10914995939,10914995939,0,47,5,0,52,0,0,0
4,1,97,146,3,1,5,0,35,0.972,0,0.0,0.028,10379564133,10379564133,4,33,1,0,34,0,0,0
17,7,98,146,2,1,5,0,290,0.973,1,0.003,0.024,1080086716,1080086716,4,262,20,0,282,1,1,6
63,9,97,146,2,3,5,1,397,0.971,8,0.007,0.022,3967670,3967670,3,368,17,1,385,3,3,6
29,14,98,146,1,4,5,2,1012,0.974,1,0.013,0.013,1011447473,1011447473,2,968,16,1,984,14,14,10
7,0,100,150,0,0,5,0,832,1.0,0,0.0,0.0,1504004220,1504004220,0,828,4,0,832,0,0,0
6,4,95,143,4,0,5,1,107,0.954,0,0.009,0.037,1792122832,1792122832,6,94,8,1,102,1,1,4
1,0,100,150,0,0,5,0,11,1.0,0,0.0,0.0,10027497287,10027497287,0,10,1,0,11,0,0,0
0,0,100,150,0,0,5,0,6,1.0,0,0.0,0.0,11633423695,11633423695,0,6,0,0,6,0,0,0
